ID,subject,inst1_RT,inst2_RT,inst3_RT,comprehension1_RT,comprehension1_error,comprehension2_RT,comprehension2_error,gold_successrate,room1preference,action_repeating,choice_consistency,selection_mRT,selection_dRT,selection_timeout,skip_survey,attention_check_fail,straightlining,zigzagging,task_outliers,survey_outliers,outliers
oz7sa4ntqh6i8a8poq9uu3go,142,118.991,88.978,304.628,100.986,2,38.49,5,1.0,1.0,0.535,0.861,3.15714,1.92578,1,1,1,0.4615384615384615,0.3611111111111111,false,true,true
p030nsvqbr09me7p8ei2t9gi,143,223.149,312.415,276.565,59.868,1,140.317,2,1.0,1.0,0.394,0.861,3.12928,2.468,1,0,0,0.43589743589743596,0.13888888888888887,false,false,false
p42p8pqkstfhc72rbbs697cc,144,101.231,41.348,76.673,37.444,1,30.79,1,1.0,1.0,0.493,0.972,4.48928,2.64398,0,0,0,0.5128205128205129,0.4166666666666667,false,false,false
p6il5s8qcyxvkv5yox6zamvh,145,137.148,61.466,94.364,68.641,0,81.7,2,1.0,1.0,0.507,0.861,4.41068,3.7332,0,0,0,0.4615384615384615,0.47222222222222227,false,false,false
p93h3tjdqjm9obhrwqd7keul,146,136.426,58.864,147.365,41.528,1,97.157,8,0.6666666666666666,0.5,0.563,0.722,4.4899,2.20125,0,0,0,0.4358974358974359,0.22222222222222224,true,false,true
pkxrnj7zwdpanbtkcek7ex1m,147,662.948,174.012,479.456,73.518,1,152.512,5,1.0,1.0,0.535,0.861,2.95083,1.8507,0,19,2,0.6923076923076924,0.13888888888888887,false,true,true
po1yqifwjowm29cv7vfocpvy,148,141.68,69.471,105.899,96.476,1,134.935,3,1.0,0.5,0.507,0.75,8.30873,4.97805,1,2,0,0.5128205128205129,0.3055555555555555,true,true,true
pxvnzfu9xntcg3fvryf4vbj5,149,96.245,41.706,70.907,53.065,1,33.61,3,0.3333333333333333,1.0,0.465,0.833,6.37931,2.61815,0,0,0,0.5128205128205129,0.3333333333333333,false,false,false
qjntoqef2jzavydmzd6b1m2l,150,69.503,26.721,64.756,23.888,1,40.911,1,1.0,1.0,0.535,0.889,3.93331,1.50049,0,0,0,0.4102564102564103,0.5277777777777778,false,false,false
qjy30qbp1jkfpttq68sipz0m,151,171.851,68.526,167.251,60.511,0,73.034,0,1.0,1.0,0.408,0.861,5.39225,3.56484,0,0,0,0.3333333333333333,0.3055555555555556,false,false,false
qvhrsog5mmssay3hs1rrjekr,152,57.72,23.739,42.489,21.34,0,30.92,0,1.0,1.0,0.437,0.972,4.08315,2.17256,0,0,0,0.6410256410256411,0.36111111111111116,false,false,false
qw17zkgdpaexq9mppwmfjk9o,153,100.911,41.538,82.939,76.598,0,38.83,0,1.0,0.8125,0.549,0.861,6.77468,5.03495,0,0,0,0.4615384615384615,0.38888888888888884,false,false,false
rbf95kqvxle8a0l65n78v1gj,154,137.74,66.534,98.422,40.802,0,37.616,0,1.0,1.0,0.507,0.889,8.18799,5.17848,0,0,0,0.3076923076923077,0.4444444444444445,false,false,false
rhe0qq30ko2o9utwqt0n0k2i,155,66.683,23.339,55.117,30.44,0,44.288,1,1.0,1.0,0.479,0.694,4.34261,3.10203,0,0,0,0.35897435897435903,0.3055555555555555,false,false,false
rtcm5cj734hrz3n9wl04un59,156,88.088,44.434,78.958,42.938,2,48.51,1,1.0,1.0,0.507,0.806,5.75601,3.1215,0,0,0,0.4358974358974359,0.3055555555555555,false,false,false
rwodoqzhl24k1okmb5manh6x,157,233.85,131.163,154.211,94.91,5,58.949,5,1.0,0.375,0.535,0.889,4.97692,2.78714,0,19,0,0.6153846153846154,0.25,true,true,true
ryc3o6q4ktkbq0cjo0qwala3,158,285.19,84.743,295.922,99.434,0,100.627,4,0.8333333333333334,0.8125,0.352,0.611,4.19677,3.38603,1,0,0,0.35897435897435903,0.36111111111111116,false,false,false
stp7evawnutyus2eoxer5t9r,159,396.213,40.877,93.23,49.982,1,46.441,1,1.0,1.0,0.563,0.861,3.83875,2.79451,0,0,0,0.43589743589743596,0.3888888888888889,false,false,false
t5uhna7rv4dwbp0rc80krnbv,160,127.853,35.158,71.548,43.204,0,85.058,5,1.0,1.0,0.408,0.889,4.12075,3.9306,0,0,0,0.6923076923076924,0.13888888888888887,false,false,false
te8yf1xmrrzwfcqt2fvqr79s,161,220.386,54.149,156.927,43.186,0,61.73,0,1.0,1.0,0.479,0.972,3.79531,1.35872,0,0,0,0.358974358974359,0.3888888888888889,false,false,false
uaxwc5g7vkuqo1prkcyqndda,162,560.596,18.941,41.862,20.191,0,26.119,1,1.0,1.0,0.521,0.944,2.49304,1.71394,0,0,0,0.358974358974359,0.36111111111111116,false,false,false
ubtxsxnnwqvgr1owchdb71ro,163,81.334,36.365,73.141,41.313,2,48.3,2,1.0,1.0,0.606,0.778,6.34378,2.94146,0,0,0,0.5128205128205128,0.3611111111111111,false,false,false
ufi2honvjvkvtxtk75d2vh1e,164,94.028,53.879,56.385,32.48,0,40.197,2,1.0,1.0,0.507,0.833,3.37576,3.24027,1,0,0,0.38461538461538464,0.3333333333333333,false,false,false
ufpz1nbqhbjjuuk1dhr1rywe,165,95.039,33.263,61.16,30.455,1,57.364,3,1.0,0.75,0.394,0.972,6.63041,3.97998,1,0,0,0.5384615384615384,0.19444444444444442,false,false,false
uliuunm4c1n0q6jcwm0lkwle,166,62.997,30.697,63.635,28.132,0,25.739,1,1.0,1.0,0.423,1.0,5.23517,3.31569,0,0,0,0.4615384615384615,0.47222222222222215,false,false,false
unqvrsb5l4xzewg3q7xb9wtb,167,180.254,36.693,95.025,71.076,2,81.523,5,0.5,0.25,0.451,0.75,2.53851,1.9775,0,0,0,0.4358974358974359,0.19444444444444442,true,false,true
uueto6j21gdctwsmbypx3cgz,168,60.234,25.261,51.84,30.453,0,26.216,0,1.0,1.0,0.479,1.0,5.65881,5.26608,0,0,0,0.3076923076923077,0.3888888888888889,false,false,false
v27r9w37ieh466ipnmfy3gya,169,251.486,57.811,147.715,74.793,2,81.731,3,0.6666666666666666,0.4375,0.451,0.833,4.13483,3.46069,1,0,1,0.6153846153846153,0.3055555555555555,true,false,true
v3jpnjibpz8u1kyl5b5zu5c1,170,81.687,38.574,75.359,74.733,2,41.512,1,0.8333333333333334,1.0,0.521,0.944,4.29847,2.46214,0,0,0,0.4358974358974359,0.19444444444444442,false,false,false
v5fwuv580zlx2qmznpyulyus,171,129.027,33.217,144.788,53.823,1,45.535,3,0.16666666666666666,0.0,0.563,0.694,1.86097,0.96389,0,0,0,0.358974358974359,0.4166666666666667,true,false,true
va21qonu3jknrvkpqw15rlw3,172,106.846,28.034,78.072,68.509,1,49.085,2,1.0,1.0,0.592,0.833,5.6046,4.9197,0,0,0,0.3846153846153846,0.3888888888888889,false,false,false
vs08kyvmg6671fkxcqgyboe4,173,96.313,25.31,49.414,38.16,0,24.887,0,1.0,1.0,0.479,0.972,2.79435,2.07486,0,0,0,0.3076923076923077,0.3888888888888889,false,false,false
vsuwh8pppbem3lwlq8en1ho2,174,118.901,52.318,144.399,34.91,1,59.616,1,1.0,1.0,0.549,0.833,7.9277,5.52165,1,0,0,0.35897435897435903,0.3055555555555556,false,false,false
