trial,GB_condition,subject,ID,timeout,rt,room1,room2,action,chosenroom,gold,bomb,Gtrials
98,false,2,01z6l1ieafq2fmtibm2ixuad,false,2980,1,7,0,1,16.708333333333336,26.166666666666668,1
99,false,2,01z6l1ieafq2fmtibm2ixuad,false,5538,5,1,0,5,17.208333333333336,26.166666666666668,1
100,false,2,01z6l1ieafq2fmtibm2ixuad,false,1411,0,7,0,0,18.208333333333336,26.166666666666668,1
101,false,2,01z6l1ieafq2fmtibm2ixuad,false,6990,5,7,0,5,19.5,26.166666666666668,1
102,false,2,01z6l1ieafq2fmtibm2ixuad,false,3681,7,9,0,7,19.875,26.166666666666668,1
103,false,2,01z6l1ieafq2fmtibm2ixuad,false,2899,7,6,0,7,20.25,26.166666666666668,1
104,false,2,01z6l1ieafq2fmtibm2ixuad,false,1932,7,1,1,1,20.75,26.166666666666668,1
105,false,2,01z6l1ieafq2fmtibm2ixuad,false,2091,4,7,1,7,21.125,26.166666666666668,1
106,false,2,01z6l1ieafq2fmtibm2ixuad,false,2504,8,2,1,2,21.625,26.166666666666668,1
107,false,2,01z6l1ieafq2fmtibm2ixuad,false,1354,0,5,0,0,22.625,26.166666666666668,1
108,false,2,01z6l1ieafq2fmtibm2ixuad,false,9590,1,0,1,0,24.0,26.166666666666668,1
109,false,2,01z6l1ieafq2fmtibm2ixuad,false,1606,7,5,1,5,24.5,26.166666666666668,1
110,false,2,01z6l1ieafq2fmtibm2ixuad,false,1517,0,9,0,0,25.5,26.166666666666668,1
111,false,2,01z6l1ieafq2fmtibm2ixuad,false,3854,6,4,0,6,25.833333333333332,26.166666666666668,1
112,false,2,01z6l1ieafq2fmtibm2ixuad,false,2055,9,7,1,7,26.208333333333332,26.166666666666668,1
113,false,2,01z6l1ieafq2fmtibm2ixuad,false,1981,4,9,0,4,26.458333333333332,26.166666666666668,1
114,false,2,01z6l1ieafq2fmtibm2ixuad,false,2812,4,0,1,0,27.458333333333332,26.166666666666668,1
115,false,2,01z6l1ieafq2fmtibm2ixuad,false,2751,7,4,0,7,28.375,26.166666666666668,1
116,false,2,01z6l1ieafq2fmtibm2ixuad,false,2782,4,8,1,8,28.625,26.166666666666668,1
117,false,2,01z6l1ieafq2fmtibm2ixuad,false,1646,8,5,1,5,29.125,26.166666666666668,1
118,false,2,01z6l1ieafq2fmtibm2ixuad,false,1250,0,4,0,0,30.125,26.166666666666668,1
119,false,2,01z6l1ieafq2fmtibm2ixuad,false,1314,0,8,0,0,31.125,26.166666666666668,1
120,false,2,01z6l1ieafq2fmtibm2ixuad,false,1745,2,9,0,2,31.625,26.166666666666668,1
121,false,2,01z6l1ieafq2fmtibm2ixuad,false,1782,2,8,0,2,32.125,26.166666666666668,1
122,false,2,01z6l1ieafq2fmtibm2ixuad,false,4503,6,8,0,6,33.333333333333336,26.166666666666668,1
123,false,2,01z6l1ieafq2fmtibm2ixuad,false,1466,5,4,0,5,33.833333333333336,26.166666666666668,1
124,false,2,01z6l1ieafq2fmtibm2ixuad,false,2027,1,4,0,1,34.333333333333336,26.166666666666668,1
125,false,2,01z6l1ieafq2fmtibm2ixuad,false,1106,0,2,0,0,35.333333333333336,26.166666666666668,1
126,false,2,01z6l1ieafq2fmtibm2ixuad,false,2844,4,1,1,1,35.833333333333336,26.166666666666668,1
127,false,2,01z6l1ieafq2fmtibm2ixuad,false,1497,9,5,1,5,36.333333333333336,26.166666666666668,1
128,false,2,01z6l1ieafq2fmtibm2ixuad,false,1144,6,0,1,0,37.333333333333336,26.166666666666668,1
129,false,2,01z6l1ieafq2fmtibm2ixuad,false,1961,1,6,0,1,38.5,26.166666666666668,1
130,false,2,01z6l1ieafq2fmtibm2ixuad,false,4753,5,2,0,5,39.0,26.166666666666668,1
131,false,2,01z6l1ieafq2fmtibm2ixuad,false,1099,0,1,0,0,40.0,26.166666666666668,1
132,false,2,01z6l1ieafq2fmtibm2ixuad,false,2057,8,6,1,6,40.333333333333336,26.166666666666668,1
133,false,2,01z6l1ieafq2fmtibm2ixuad,false,3302,6,2,1,2,40.833333333333336,26.166666666666668,1
134,false,2,01z6l1ieafq2fmtibm2ixuad,false,2842,2,1,1,1,41.333333333333336,26.166666666666668,1
135,false,2,01z6l1ieafq2fmtibm2ixuad,false,4986,2,6,0,2,41.833333333333336,26.166666666666668,1
136,false,2,01z6l1ieafq2fmtibm2ixuad,false,2636,5,9,0,5,42.5,26.166666666666668,1
137,false,2,01z6l1ieafq2fmtibm2ixuad,false,2209,8,9,0,8,42.75,26.166666666666668,1
138,false,2,01z6l1ieafq2fmtibm2ixuad,false,3463,2,7,0,2,43.25,26.166666666666668,1
139,false,2,01z6l1ieafq2fmtibm2ixuad,false,1713,9,8,1,8,43.5,26.166666666666668,1
140,false,2,01z6l1ieafq2fmtibm2ixuad,false,2788,5,6,0,5,44.0,26.166666666666668,1
141,false,2,01z6l1ieafq2fmtibm2ixuad,false,1858,2,5,1,5,44.5,26.166666666666668,1
142,false,2,01z6l1ieafq2fmtibm2ixuad,false,3023,1,2,0,1,45.0,26.166666666666668,1
143,false,2,01z6l1ieafq2fmtibm2ixuad,false,2987,6,7,0,6,45.333333333333336,26.166666666666668,1
144,false,2,01z6l1ieafq2fmtibm2ixuad,false,1304,1,9,0,1,45.833333333333336,26.166666666666668,1
73,false,3,08jos05kd4o9ze7ns929qyaa,false,2388,8,0,1,0,1.0,36.5,1
74,false,3,08jos05kd4o9ze7ns929qyaa,false,1353,6,4,1,4,1.25,36.5,1
75,false,3,08jos05kd4o9ze7ns929qyaa,false,733,4,1,1,1,1.75,36.5,1
76,false,3,08jos05kd4o9ze7ns929qyaa,false,1111,6,1,1,1,2.25,36.5,1
77,false,3,08jos05kd4o9ze7ns929qyaa,false,739,0,4,1,4,2.5,36.5,1
78,false,3,08jos05kd4o9ze7ns929qyaa,false,1169,2,0,1,0,3.5,36.5,1
79,false,3,08jos05kd4o9ze7ns929qyaa,false,884,1,5,1,5,4.0,36.5,1
80,false,3,08jos05kd4o9ze7ns929qyaa,false,2782,0,2,1,2,4.5,36.5,1
81,false,3,08jos05kd4o9ze7ns929qyaa,false,563,4,2,1,2,5.0,36.5,1
82,false,3,08jos05kd4o9ze7ns929qyaa,false,380,0,6,1,6,5.333333333333333,36.5,1
83,false,3,08jos05kd4o9ze7ns929qyaa,false,359,5,8,1,8,5.583333333333333,36.5,1
84,false,3,08jos05kd4o9ze7ns929qyaa,false,537,4,7,1,7,5.958333333333333,36.5,1
85,false,3,08jos05kd4o9ze7ns929qyaa,false,672,2,1,1,1,6.458333333333333,36.5,1
86,false,3,08jos05kd4o9ze7ns929qyaa,false,888,8,5,1,5,6.958333333333333,36.5,1
87,false,3,08jos05kd4o9ze7ns929qyaa,false,4123,2,7,1,7,7.375,36.5,1
88,false,3,08jos05kd4o9ze7ns929qyaa,false,627,6,8,1,8,7.625,36.5,1
89,false,3,08jos05kd4o9ze7ns929qyaa,false,377,1,9,1,9,7.875,36.5,1
90,false,3,08jos05kd4o9ze7ns929qyaa,false,921,8,7,1,7,8.25,36.5,1
91,false,3,08jos05kd4o9ze7ns929qyaa,false,863,5,7,1,7,8.625,36.5,1
92,false,3,08jos05kd4o9ze7ns929qyaa,false,606,0,5,1,5,9.125,36.5,1
93,false,3,08jos05kd4o9ze7ns929qyaa,false,524,9,8,1,8,9.375,36.5,1
94,false,3,08jos05kd4o9ze7ns929qyaa,false,1003,8,2,1,2,10.5,36.5,1
95,false,3,08jos05kd4o9ze7ns929qyaa,false,469,6,0,1,0,11.5,36.5,1
96,false,3,08jos05kd4o9ze7ns929qyaa,false,403,7,6,1,6,11.833333333333334,36.5,1
97,false,3,08jos05kd4o9ze7ns929qyaa,false,370,7,2,1,2,12.333333333333334,36.5,1
98,false,3,08jos05kd4o9ze7ns929qyaa,false,542,1,0,1,0,13.333333333333334,36.5,1
99,false,3,08jos05kd4o9ze7ns929qyaa,false,1437,6,7,1,7,13.708333333333334,36.5,1
100,false,3,08jos05kd4o9ze7ns929qyaa,false,477,5,6,1,6,14.041666666666668,36.5,1
101,false,3,08jos05kd4o9ze7ns929qyaa,false,1012,2,9,1,9,15.25,36.5,1
102,false,3,08jos05kd4o9ze7ns929qyaa,false,402,0,9,1,9,15.5,36.5,1
